"Espacenet";"";"";"";"";"";"";"";"";
"Recherche de brevets";"";"";"";"";"";"";"";"";
"1 résultat trouvé pour plastic recycling AND traceability";"";"";"";"";"";"";"";"";
"Résultats affichés : 1 à 500";"";"";"";"";"";"";"";"";
"Langue de la requête: en / de / fr";"";"";"";"";"";"";"";"";
"Trier par: Pertinence";"";"";"";"";"";"";"";"";
"";"";"";"";"";"";"";"";"";
"No";"Titre";"Inventeurs";"Demandeurs";"Numéro de publication";"Priorité la plus ancienne";"CIB";"CPC";"Date de publication";"Publication la plus ancienne";"Numéro de famille";
"11";"Industrial department micro-plastic emission tracing method based on mixed life cycle";"ZHANG TONGWEI 
XIA LINLIN 
CAI YANPENG";"UNIV GUANGDONG TECHNOLOGY";"CN116090699A";"2023-01-10";"G06Q10/063 
G06Q50/04 
G06Q50/26";"G06Q10/063 (CN) 
G06Q50/04 (CN) 
G06Q50/26 (CN) 
Y02P90/30 (EP)";"2023-05-09";"2023-05-09";"086211609";
"12";"Article recycling traceability system";"XIE ZHONGBO 
CHENG HONGSHAN 
SHUI LI";"YOONOF TECH DEVELOPMENT GUANGDONG CO LTD 
SICHUAN KCOMBER TECH CO LTD";"CN113537521A";"2021-07-01";"G06K19/06 
G06Q10/00 
G06Q10/08";"G06K19/06037 (CN) 
G06Q10/083 (CN) 
G06Q10/087 (CN) 
G06Q10/30 (CN) 
Y02W90/00 (EP)";"2021-10-22";"2021-10-22";"078126570";
"13";"SYSTEM AND METHOD OF TRACEABILITY OF RECYCLABLE OR REUSABLE PRODUCTS (Machine-translation by Google Translate, not legally binding)";"GOMAR MICÓ RODRIGO";"SOLUCIONES ENERGETICAS LEVANTE S L U [ES]";"ES3010150A1";"2023-09-29";"B65D23/00 
B65D25/00 
G06Q10/30";"B65D23/00 (ES) 
B65D25/00 (ES) 
G06Q10/30 (ES)";"2025-04-01";"2025-04-01";"095154798";
"14";"Plastic classifying, sorting and recycling device";"YUAN LINYAN 
JIN JIACHENG 
LI HAIYAN";"SHANGHAI INSTITUTE OF QUALITY INSPECTION AND TECHNICAL RES";"CN217777467U";"2022-08-09";"B29B17/02";"Y02W30/62 (EP)";"2022-11-11";"2022-11-11";"083943134";
"15";"Carbon emission tracking method and device for regenerated plastic product";"FENG BIN 
SUN JING 
HUANG YUKE";"GUANGDONG TRACTIVE INFORMATION TECH CO LTD";"CN117236968A";"2023-07-28";"G06F16/25 
G06Q30/018 
G06Q50/26";"";"2023-12-15";"2023-12-15";"089088671";
"16";"Processing method and system for plastic recovery and electronic equipment";"XIONG LULU 
WU YALIN 
YANG LANLAN";"SHANGHAI DAJUE PACKAGING PRODUCTS CO LTD";"CN119283241A";"2024-11-19";"B29B17/02";"B29B17/02 (CN) 
B29B2017/0244 (CN) 
B29B2017/0279 (CN)";"2025-01-10";"2025-01-10";"094155803";
"17";"Intelligent garbage classification and recycling system";"TANG JUN 
ZHANG LIN 
SONG YIBIAO 
YANG LU 
LI ZHIQUAN";"XIAOHUANGGOU ENVIRONMENTAL PROTECTION TECH CO LTD";"CN109969639A";"2019-03-28";"B65F1/00 
B65F1/14 
G06Q20/14 
G07F7/06";"B65F1/0053 (CN) 
B65F1/14 (CN) 
G06Q20/145 (CN) 
G07F7/0609 (CN) 
B65F2210/128 (CN) 
B65F2210/165 (CN) 
B65F2210/176 (CN) 
Y02W30/10 (EP)";"2019-07-05";"2019-07-05";"067081054";
"18";"RENEWABLE MATERIAL TRACEABILITY SYSTEM AND RENEWABLE MATERIAL TRACEABILITY METHOD";"OHORI TOSHIKI [JP] 
SOGA SHUJI [JP]";"HITACHI LTD [JP]";"US20260065293A1";"2024-08-28";"G06Q10/30 
G06Q30/018";"G06Q10/06 (EP) 
G06Q10/08 (EP) 
G06Q10/20 (EP) 
G06Q10/30 (EP,US) 
G06Q30/018 (EP,US) 
G06Q50/04 (EP) 
Y02P90/30 (EP)";"2026-03-05";"2026-03-04";"096014518";
"19";"Waste plastic recycling processing method";"FENG ZHIPING";"GUANGZHOU ZHISHUN TECH CO LTD";"CN109203295A 
CN109203295B";"2018-08-23";"B29B17/00";"B29B17/00 (CN) 
B29B2017/0089 (CN) 
Y02W30/62 (EP)";"2019-01-15 
2021-04-02";"2019-01-15";"064989703";
"20";"Cigarette recycling plastic box";"LI QIAN 
LI XIAN 
CHENG LIANG 
LYU XIANZHOU 
OUYANG ZHE 
LIU RONG";"HONGYUN HONGHE TOBACCO GROUP";"CN214826182U";"2021-04-30";"B65F1/00 
B65F1/14";"";"2021-11-23";"2021-11-23";"078771954";
"21";"Drying device for recycling and processing plastic particles";"XUE JUNFENG 
LI FUCUN 
XUE JUNXIA";"RIZHAO JINLIDA PLASTIC CO LTD";"CN119217583A";"2024-09-06";"B29B17/00 
B29B17/02 
F26B21/00 
F26B25/04";"B29B17/00 (CN) 
B29B17/02 (CN) 
F26B21/001 (CN) 
F26B25/04 (CN) 
B29B2017/001 (CN) 
B29B2017/0224 (CN) 
Y02W30/62 (EP)";"2024-12-31";"2024-12-31";"094045689";
"22";"Closed-loop film recycling method and process based on GRS authentication";"DING AIRU 
LIU ZHANGJUN 
HE LINGYUN 
CHEN BAOHUI";"SHENZHEN ASIATEK TECH CO LTD";"CN121005882A";"2025-09-22";"C08G63/91 
C08J11/06 
C08J5/18 
C08L67/02";"C08G63/916 (CN) 
C08J11/06 (CN) 
C08J5/18 (CN) 
C08J2367/02 (CN) 
Y02W30/62 (EP)";"2025-11-25";"2025-11-25";"097732126";
"23";"Automated system for in-field storage, traceability and unloading of harvest products of harvested material from a harvesting machine";"PICKETT TERENCE D [US] 
FAIVRE STEPHEN M [US]";"DEERE & CO [US]";"US2008072546A1 
US7434375B2";"2006-09-22";"B65B9/00 
B65B25/02 
B65B9/13";"A01D41/12 (EP,US) 
A01D91/04 (EP,US) 
A01F25/14 (EP,US) 
A01F2025/145 (EP,US)";"2008-03-27 
2008-10-14";"2008-03-22";"038702057";
"24";"DISPOSITIF DE TRAITEMENT D'INFORMATIONS, PROCÉDÉ DE TRAITEMENT D'INFORMATIONS ET PROGRAMME DE TRAITEMENT D'INFORMATIONS";"IKEGAMI TAKESHI [JP] 
YAGI AKIKO [JP] 
ITO KEN [JP] 
SHINDO KAZUHIRO [JP]";"UNICHARM CORP [JP]";"WO2023162604A1";"2022-02-24";"G06Q10/30 
G06Q50/10";"G06Q10/30 (EP) 
G06Q50/10 (EP)";"2023-08-31";"2023-06-09";"086646786";
"25";"Real-time monitoring method for intelligent sorting system";"QUAN WEN 
YANG XIAOLIN 
LUO HONGTAI 
LIANG LONGYI";"GUANGXI SHENGHE RESOURCES RECYCLING TECH CO LTD";"CN121707494A";"2025-12-11";"G05B19/05 
G06Q10/0639 
G06Q10/10 
G06Q10/30 
G06V20/52";"";"2026-03-20";"2026-03-20";"099076183";
"26";"Method and apparatus for tracking plastic waste using data management";"BAO DONGDONG 
WU YANG 
SUN WEIMIN 
LE LE 
PENG YAN 
TANG YILONG 
ZHANG TONGQING 
YANG XIAOBO 
CHEN HAIJIE";"SHENZHEN LUHUAN RESOURCES RECYCLING DEV LTD";"CN119831579A";"2025-02-18";"G06K17/00 
G06Q10/30 
G06T17/00";"";"2025-04-15";"2025-04-15";"095302903";
"27";"Food contact material product quality standard traceability system and method";"WANG JIAQI 
DING HUAPING 
LUO JING 
HUANG CHENLIN 
WU QIMING 
YANG QIANRU";"SHANGHAI CUSTOMS MECHANICAL AND ELECTRICAL PRODUCT TESTING TECH CENTER";"CN121937140A";"2026-01-20";"G06Q30/018 
G06Q50/04 
G06Q50/26";"G06Q30/018 (CN) 
G06Q50/04 (CN) 
G06Q50/26 (CN)";"2026-04-28";"2026-04-28";"099523352";
"28";"Tobacco leaf packaging logistics method";"";"GANZHOU CHENYANG PAPER PRODUCTS CO LTD";"CN121871993A";"2025-12-31";"A24B15/20 
A24B3/10 
A24B7/00 
B65B61/26 
B65G1/04 
B65G1/137 
G06K7/10 
G06Q10/0833";"A24B15/20 (CN) 
A24B3/10 (CN) 
A24B7/00 (CN) 
B65B61/26 (CN) 
B65G1/04 (CN) 
B65G1/1373 (CN) 
G06K7/10861 (CN) 
G06Q10/0833 (CN)";"2026-04-17";"2026-04-17";"099401237";
"29";"CARTRIDGE FOR RECYCLING MEDICAL WASTE, WASTE CONTAINER AND METHOD FOR COMPACTING AND STERILISING SAID WASTE";"DUENAS SANCHEZ SILVERIO [ES]";"DUENAS SANCHEZ SILVERIO [ES] 
SARAITO S L [ES]";"US2013232917A1";"2010-10-28";"A61L11/00 
A61L2/07 
B09B3/00";"A61B50/362 (EP,US) 
A61L11/00 (EP,US) 
A61L2/07 (EP,US) 
B09B3/32 (EP,US) 
B09B2101/65 (EP,US)";"2013-09-12";"2012-05-03";"045993194";
"30";"Degradable plastic quality release and demolding residue traceability management method";"MAO YANHONG";"ANHUI YONGHE ECOLOGICAL ENVIRONMENT TECH CO LTD";"CN121437016A";"2025-11-05";"G01N21/33 
G06K19/06 
G06Q30/018";"";"2026-01-30";"2026-01-30";"098541747";
"31";"One-object one-code traceability management packaging box based on variable printing technology";"LIU CHANGHUA";"ZHEJIANG HUAHAO PRINTING CO LTD";"CN119429373A";"2024-11-07";"B65D25/00 
G06K17/00 
G06Q30/018";"B65D25/00 (CN) 
G06K17/0025 (CN) 
G06Q30/018 (CN)";"2025-02-14";"2025-02-14";"094512732";
"32";"Application of fluorescent molecular switch in tracing of regenerated plastic";"LI ZHIZE 
JIANG WEINAN 
WANG ZIYI 
ZHAO ERQI 
ZHU HUIMIN 
WANG ZHAOYU";"CHANGCHUN AUTOMOTIVE TEST CENTER CO LTD";"CN121633031A";"2025-11-13";"C08J3/22 
C08K5/3415 
C08K5/3437 
C08L23/06 
C08L23/12 
C08L27/06 
C08L67/02 
C09K11/06 
G01N21/64";"C08J3/226 (CN) 
C09K11/06 (CN) 
G01N21/6402 (CN) 
C08J2323/06 (CN) 
C08J2327/06 (CN) 
C08J2367/02 (CN) 
C08J2423/06 (CN) 
C08J2423/12 (CN) 
C08J2467/02 (CN) 
C08K5/3415 (CN) 
C08K5/3437 (CN) 
C09K2211/1011 (CN) 
C09K2211/1029 (CN) 
C09K2211/1033 (CN)";"2026-03-10";"2026-03-10";"098948632";
"33";"Fine sorting and recycling assembly for waste plastic bottles";"CAO WEIDONG 
XU YANFENG";"TAICHU HUANSU TECH ZHEJIANG CO LTD";"CN215198355U";"2021-07-23";"B07C5/342";"";"2021-12-17";"2021-12-17";"079428343";
"34";"Fine sorting and recycling assembly for waste plastic bottle";"CAO WEIDONG 
XU YANFENG";"TAICHU HUANSU TECH ZHEJIANG CO LTD";"CN113369174A 
CN113369174B";"2021-07-23";"B07C5/342";"B07C5/3422 (CN) 
Y02W30/62 (EP)";"2021-09-10 
2025-06-06";"2021-09-10";"077582757";
"35";"Waste incineration treatment front-end pollution source blocking and resource recycling method and system";"WANG FENG 
ZHAO SHUTING 
WANG NAN 
WANG FEI 
WANG SHIZHONG";"BEIJING LYUAN CHUANGHUA ENVIRONMENTAL PROTECTION TECH CO LTD";"CN121373045A";"2025-12-03";"B07B15/00 
B07C5/342 
B07C5/36 
B09B3/00 
B09B3/70 
B09B5/00 
F23G5/00 
F23G5/02 
B09B101/77";"";"2026-01-23";"2026-01-23";"098462092";
"36";"High-toughness plastic bag processing technology";"CAO YADI 
DU JUAN";"SHANGHAI XUNNENG PLASTIC PRODUCTS CO LTD";"CN120985896A";"2025-07-16";"B29C48/00 
B29C48/18 
B29C48/28 
B29C48/30 
B29C48/32 
B29C48/92 
C08J5/18 
C08L23/06 
C08L23/0807 
C08L51/06 
B29K23/00 
B29L31/00";"B29C48/0017 (CN) 
B29C48/0022 (CN) 
B29C48/0023 (CN) 
B29C48/022 (CN) 
B29C48/18 (CN) 
B29C48/28 (CN) 
B29C48/30 (CN) 
B29C48/32 (CN) 
B29C48/92 (CN) 
C08J5/18 (CN) 
B29C2948/92028 (CN) 
B29C2948/92085 (CN) 
B29C2948/92152 (CN) 
B29K2023/0625 (CN) 
B29K2023/0633 (CN) 
B29L2031/7128 (CN) 
C08J2323/06 (CN) 
C08J2323/08 (CN) 
C08J2451/06 (CN)";"2025-11-21";"2025-11-21";"097699250";
"37";"Household kitchen garbage recycling equipment and traceability system thereof";"CAO WENHUI";"ZHONGKE JUJIANG ARTIFICIAL INTELLIGENCE TECH GUANGZHOU CO LTD";"CN119190655A";"2024-09-22";"B65F1/00 
B65F1/14";"B65F1/006 (CN) 
B65F1/14 (CN) 
B65F1/1426 (CN) 
B65F1/1484 (CN) 
B65F2210/168 (CN) 
B65F2210/176 (CN) 
Y02W30/10 (EP)";"2024-12-27";"2024-12-27";"094041389";
"38";"Electronic tag for cattle breeding traceability";"FU SHENG 
XIE FENG 
LI BIN 
LIN DAN 
WANG CHAO";"FOOD SAFETY AND NUTRITION GUIZHOU INFORMATION TECH CO LTD";"CN217790953U";"2022-05-17";"A01K11/00 
G06K19/077";"";"2022-11-15";"2022-11-15";"083983815";
"39";"TRACEABILITY SYSTEM FOR BULK COMMODITY SUPPLY CHAIN";"NATTAR RANGANATHAN VAISHNAVI [US] 
KAUR UPINDER [US] 
KUMAR PEEYUSH [US] 
CHANDRA RANVEER [US] 
BASSANI MICHAEL MCNAB [US] 
JAIN VISHAL [IN]";"MICROSOFT TECHNOLOGY LICENSING LLC [US]";"US12147932B2 
US2023222433A1";"2022-01-13";"G06Q10/08 
G06Q30/00 
G06Q10/0833 
G06Q30/018";"G06Q10/08 (EP) 
G06Q10/0833 (EP,US) 
G06Q30/018 (US) 
G06Q50/02 (EP) 
G06K19/0723 (EP)";"2023-07-13 
2024-11-19";"2023-07-13";"085157533";
"40";"Environment-friendly recycling machine intelligent control system and intelligent environment-friendly recycling machine";"YANG TAO 
ZHANG ZHE";"LIAONING JIACHUANG ENVIRONMENTAL PROT EQUIPMENT CO LTD";"CN215477395U";"2021-07-06";"B65F1/00 
B65F1/14 
G06K19/06 
G06K7/10";"";"2022-01-11";"2022-01-11";"079724790";
"41";"Tracing method, device and equipment for battery recovery and medium";"JIN QIAOLING 
XIAO XUE 
LI WENBO";"INSPUR IND INTERNET CO LTD";"CN116109298A";"2022-12-26";"G06Q10/30 
G06Q30/018 
G06Q50/26";"G06Q10/30 (CN) 
G06Q30/018 (CN) 
G06Q50/26 (CN) 
Y02W90/00 (EP)";"2023-05-12";"2023-05-12";"086259005";
"42";"Packaging box with traceability tracking module convenient to take out";"ZHOU LIQUAN 
YANG PEIXIANG 
WANG JIAYUAN 
JIANG CAIHUI 
WANG SHATONG 
XIONG KAI 
ZHOU QIAN 
WANG YONGHAI";"YIBIN PLASTIC PACKAGING MAT CO LTD SICHUAN";"CN209321540U";"2018-11-14";"B65D25/20";"";"2019-08-30";"2019-08-30";"067710161";
"43";"Anti-counterfeiting traceability device capable of being destroyed immediately after being pushed open";"ZHANG HONGWEI 
ZHAO SHAOHUA 
ZHAO WEI";"XIAN BAOLAITE OPTOELECTRONIC DEVICES CO LTD";"CN211181431U";"2019-12-13";"G09F3/03 
G09F9/00";"";"2020-08-04";"2020-08-04";"071800461";
"44";"System and Method for Recycling Plastic Waste";"BATES DANIEL L [US] 
KEASMAN ANN [US] 
GALAZZI CHRISTOPHER S [US] 
YONCE JOHN PATRICK [US]";"BATES DANIEL L [US] 
KEASMAN ANN [US] 
GALAZZI CHRISTOPHER S [US] 
YONCE JOHN PATRICK [US] 
CLEAN SEAS INC [US]";"US20260134406A1";"2023-08-17";"G06Q10/04 
G06Q10/0631 
G06Q10/087 
G06Q10/30 
G06Q30/018";"G06Q10/04 (EP,US) 
G06Q10/06315 (EP,US) 
G06Q10/08726 (EP,US) 
G06Q10/08744 (EP,US) 
G06Q10/30 (EP,US) 
G06Q30/018 (EP,US) 
G06Q2220/00 (EP,US)";"2026-05-14";"2026-05-14";"099764632";
"45";"Recycling bag for recycling coffee grounds";"LIU SHAORAN 
LIU ZHILIANG 
YAN CANHUI 
WANG ZHIXIONG 
CHEN SHIZHEN 
MAI YAOREN";"SUPREME PLASTIC & RUBBER PACKAGING PRODUCTS SHENZHEN CO LTD";"CN217416886U";"2022-01-12";"B65D30/10 
B65D33/08 
B65D33/16 
B65F1/00";"";"2022-09-13";"2022-09-13";"083175069";
"46";"Modular traceability recovery processing system for household kitchen garbage can";"ZHANG XIN 
QIN YONGZHI 
CHEN JIGUI";"GREENPORT ENV RESOURCES CO LTD";"CN116443452A 
CN116443452B";"2023-04-23";"B08B9/093 
B65F1/00 
B65F1/14 
B65F1/16 
B65F3/00";"B08B9/093 (CN) 
B65F1/00 (CN) 
B65F1/14 (CN) 
B65F1/1638 (CN) 
B65F3/00 (CN) 
B65F2210/138 (CN) 
B65F2210/184 (CN) 
Y02W30/10 (EP)";"2023-07-18 
2026-04-14";"2023-07-18";"087123509";
"47";"Recovery method and system based on renewable resource cloud platform";"LUO DONGHONG 
ZHENG BO";"SHENZHEN DIANFEI CHENGJIN TECH CO LTD";"CN120524288A 
CN120524288B";"2025-05-12";"G06F18/241 
G06N3/0464 
G06N3/08";"G06F18/241 (CN) 
G06N3/0464 (CN) 
G06N3/08 (CN)";"2025-08-22 
2026-04-03";"2025-08-22";"096750230";
"48";"Waste plastic regeneration production risk coping method based on multivariate innovation algorithm";"LI LANG 
LI RENYAN 
WAN JIFENG";"HUNAN ZHONGKE NEW MAT CO LTD";"CN120163432A";"2025-02-07";"G06N3/006 
G06N3/043 
G06N3/0442 
G06N3/086 
G06N3/092 
G06N3/126 
G06Q10/0635 
G06Q10/0639 
G06Q30/0202 
G06Q50/04";"G06N3/006 (CN) 
G06N3/043 (CN) 
G06N3/0442 (CN) 
G06N3/086 (CN) 
G06N3/092 (CN) 
G06N3/126 (CN) 
G06Q10/0635 (CN) 
G06Q10/06393 (CN) 
G06Q10/06395 (CN) 
G06Q30/0202 (CN) 
G06Q50/04 (CN) 
Y02P90/30 (EP)";"2025-06-17";"2025-06-17";"096010060";
"49";"Waste template recycling process and template processing method";"YIN MIN 
WANG HUA 
WANG ZHONGYING";"SHANGHAI GANGCHENG CONSTRUCTION INSTALLATION ENG CO LTD";"CN121535456A";"2025-11-24";"B23P15/00";"B23P15/00 (CN)";"2026-02-17";"2026-02-17";"098747939";
"50";"Pesticide packaging waste recycling supervision system";"CHENG HONGSHAN 
SHUI LI 
ZHANG WEI";"SICHUAN KCOMBER TECH CO LTD";"CN113762541A";"2021-08-18";"G01C21/26 
G01C21/34 
G06Q10/00";"G01C21/26 (CN) 
G01C21/3407 (CN) 
G06Q10/30 (CN) 
Y02W90/00 (EP)";"2021-12-07";"2021-12-07";"078790363";
"51";"Quality monitoring method based on block chain and environment-friendly glue box anti-counterfeit printing";"XIE YANGHAI 
WU YUEJIN";"SHENZHEN WANLI PRINTING CO LTD";"CN117952635A 
CN117952635B";"2024-03-26";"G06K17/00 
G06Q30/018";"G06K17/00 (CN) 
G06Q30/018 (CN) 
Y02P90/30 (EP)";"2024-04-30 
2024-07-05";"2024-04-30";"090792872";
"52";"Method for collecting and storing disposable transparent special bag for classified packaging of plastic garbage";"YI BO 
ZHANG XIAOMING";"SICHUAN 9HELLO TECH CO LTD";"CN111422522A";"2019-12-17";"B65F1/00 
B65F1/14";"B65F1/0006 (CN) 
B65F1/1484 (CN) 
B65F2210/138 (CN) 
B65F2250/1143 (CN)";"2020-07-17";"2020-07-17";"071546891";
"53";"Renewable resource recovery tracking method and system based on Internet of Things";"XU BIN 
ZHANG WANLING 
SU QING 
LI YUAN";"HOUWEISHI ENERGY SAVING ENVIRONMENTAL PROTECTION TECH CO LTD";"CN120198111A 
CN120198111B";"2025-03-06";"G06F18/213 
G06F18/22 
G06F40/126 
G06Q10/30 
G06Q30/018 
G16Y20/20 
G16Y40/10";"G06F18/213 (CN) 
G06F18/22 (CN) 
G06F40/126 (CN) 
G06Q10/30 (CN) 
G06Q30/018 (CN) 
G16Y20/20 (CN) 
G16Y40/10 (CN) 
Y02W90/00 (EP)";"2025-06-24 
2025-10-28";"2025-06-24";"096061781";
"54";"Modularized combined type building waste classification recycling treatment system";"ZHAO GANG";"ZHAO GANG";"CN121695998A";"2026-01-22";"B01D36/04 
B01D50/60 
B02C21/02 
B02C23/04 
B02C23/14 
B02C23/18 
B02C25/00 
B07B15/00";"Y02W30/58 (EP)";"2026-03-20";"2026-03-20";"099069578";
"55";"Anti-recycling bottled product and easy-to-pull head cover thereof";"CHEN MINGFA";"ATMOVIE HAINAN ARTIFICIAL INTELLIGENCE LTD COMPANY";"CN216003687U";"2021-10-07";"B65D43/14 
B65D49/00";"B65D17/00 (CN) 
B65D23/00 (CN) 
B65D41/04 (CN) 
B65D49/00 (CN) 
Y02W30/80 (EP)";"2022-03-11";"2021-12-31";"079000122";
"56";"Color master batch plastic processing method and system based on multi-device cooperative control";"ZHAO LIRONG";"DONGGUAN DONGLAI PLASTIC CO LTD";"CN121756557A";"2026-02-06";"B29B9/06 
B29C48/92 
B29C55/28";"";"2026-03-31";"2026-03-31";"099181660";
"57";"PROCÉDÉ ET SYSTÈME DE RECYCLAGE OPTIMISÉ D'UN PRODUIT";"MELCHER ANDREAS [AT]";"PRIMETALS TECHNOLOGIES AUSTRIA GMBH [AT]";"EP4435695A1";"2023-03-23";"G06Q10/0875 
G06Q10/30";"G06Q10/0875 (EP) 
G06Q10/30 (EP)";"2024-09-25";"2024-09-25";"085726408";
"58";"Campus plastic bottle recovery device management platform based on Internet of Things";"LI JIANGUANG 
SONG ZHENGLEI 
LI TONGMAN 
ZHANG YU 
MU YIZHEN 
LU CHENG 
ZHANG LI";"SHIZUISHAN IND AND TRADE VOCATIONAL TECHNICAL COLLEGE NINGXIA IND SCHOOL";"CN121861761A";"2026-01-27";"G07F7/06 
H04L67/12 
H04W84/12";"G07F7/0609 (CN) 
H04L67/12 (CN) 
H04W84/12 (CN)";"2026-04-14";"2026-04-14";"099378554";
