PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	C1	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	WC	UT	PM
P	CUI Y; WANG X; SHENG X; MA L; WANG Y; HUANG T								Method for detecting effectiveness of            micro-plastic pollution treatment based on big data            coupling, involves integrating pollution source            identification, migration prediction and effect            evaluation result, and constructing decision support            system																																		0							COMPUTER SCIENCE HARDWARE ARCHITECTURE; ELECTROCHEMISTRY; POLYMER SCIENCE; ENGINEERING ELECTRICAL ELECTRONIC	DIIDW:2026392307		
P	THOSAR A; RUIKAR S; JOSHI R R								System for real-time waste detection,            classification, and cost computation in manufacturing            environment across sectors such as automotive,            plastics, metals, electronics, food processing, and            consumer goods, comprises user input device            communicatively coupled with raw material            identification unit																																		0							POLYMER SCIENCE; TRANSPORTATION; IMAGING SCIENCE PHOTOGRAPHIC TECHNOLOGY; COMPUTER SCIENCE HARDWARE ARCHITECTURE; AUTOMATION CONTROL SYSTEMS; INSTRUMENTS INSTRUMENTATION; ENGINEERING ELECTRICAL ELECTRONIC	DIIDW:2026358355		
P	GAO M; HU H; WEI Y								High speed and high efficiency pin integrated            forming method, involves automatically sorting and            tracing, discharging qualified product, removing            defective product mark, and tracing whole flow data by            two-dimensional code RFID reader-writer																																		0							POLYMER SCIENCE; ENGINEERING ELECTRICAL ELECTRONIC; AUTOMATION CONTROL SYSTEMS; ELECTROCHEMISTRY; INSTRUMENTS INSTRUMENTATION; COMPUTER SCIENCE HARDWARE ARCHITECTURE; TELECOMMUNICATIONS	DIIDW:202637742V		
P	XU Y; YUAN S								Intelligent packaging box for consumer product            packaging, has near field communication chip fixed on            packaging box main body through integrated mode matched            with material, where chip executes first instruction            data containing standard																																		0							POLYMER SCIENCE; ELECTROCHEMISTRY; TELECOMMUNICATIONS; CHEMISTRY APPLIED; ENGINEERING ELECTRICAL ELECTRONIC; COMPUTER SCIENCE HARDWARE ARCHITECTURE; MATERIALS SCIENCE PAPER WOOD	DIIDW:202633866G		
P	BHARGAVI S J; SREE G B; YESHASWINI K; AARIFA S C								Machine for realizing pyrolysis conversion of e.g.            industrial plastic wastes, into fuel with blockchain            and quantum key distribution integration for energy            applications in e.g. industrial recycling plants, has            blockchain unit for providing transparency and            traceability of working data																																		0							ENGINEERING PETROLEUM; POLYMER SCIENCE; ENGINEERING MULTIDISCIPLINARY; ENGINEERING ELECTRICAL ELECTRONIC; COMPUTER SCIENCE HARDWARE ARCHITECTURE; CHEMISTRY APPLIED; INSTRUMENTS INSTRUMENTATION; ENERGY FUELS	DIIDW:202634504H		
P	WANG L; XU X; YANG Z; HU Z; SONG J; YIN X; ZHAO Y								Plastic pipe bending testing machine, has heating            device sleeve arranged on outer side of protecting            device for simulating high temperature test            environment, and high pressure output device arranged            on right side of heating device and used for providing            air flow for heating device																																		0							INSTRUMENTS INSTRUMENTATION; POLYMER SCIENCE; ENGINEERING MULTIDISCIPLINARY; ENGINEERING MECHANICAL; ENGINEERING ELECTRICAL ELECTRONIC; IMAGING SCIENCE PHOTOGRAPHIC TECHNOLOGY	DIIDW:202631450C		
P	LIU P; WANG X; QIN R; YU Y; DENG H; FU J; YANG D; HUANG Z; TAN G; HU K; LI Q; CHEN T; YIN Z								Method for detecting and counting tobacco sundries            target based on multi-spectral image, involves            outputting statistical record including box number,            type number, total number, image block file path and            index																																		0							POLYMER SCIENCE; ENGINEERING ELECTRICAL ELECTRONIC; COMPUTER SCIENCE HARDWARE ARCHITECTURE; ELECTROCHEMISTRY	DIIDW:202629579K		
P	REN D; LU H; XIE W; ZHANG Q								Method for managing traceability of industrial raw            materials, involves collecting multi-modal material            characteristic data of industrial raw material through            artificial intelligence visual network, and extracting            and fusing characteristic of material characteristic            data																																		0							POLYMER SCIENCE; ENGINEERING ELECTRICAL ELECTRONIC; ELECTROCHEMISTRY; TELECOMMUNICATIONS; COMPUTER SCIENCE HARDWARE ARCHITECTURE	DIIDW:202632643A		
P	WU Y								Bottle bottom machine for producing V-shaped            bottle bottom, has fixing seat whose inner part            provided with pushing mechanism, where inner part of            base provided with intelligent control system, and top            part of base fixedly provided with heat spraying gun            below rotating seat and plastic head																																		0							ENGINEERING MECHANICAL; MATERIALS SCIENCE MULTIDISCIPLINARY; CHEMISTRY APPLIED; POLYMER SCIENCE	DIIDW:202628385R		
P	CHOI S S								Laser marking device for imprinting mark on            marking target, has spatter cover that is formed to            surround outer perimeter of point where laser beam is            irradiated while laser beam is irradiated to marking            target and block point from outside																																		0							INSTRUMENTS INSTRUMENTATION; POLYMER SCIENCE; ENGINEERING ELECTRICAL ELECTRONIC; ENGINEERING MECHANICAL; ENGINEERING MULTIDISCIPLINARY	DIIDW:202626639V		
P	ZHU H; ZHAO E; WANG Z; JIANG W; LI Z								Use of fluorescent molecular switch comprising            fluorophore comprising tetraphenylethylene,            naphthalimide or fluorescein, and molecular switch            moiety comprising spiropyran, diarylethene or            azobenzene, in tracing and source tracking of recycled            plastics																																		0							ENGINEERING ELECTRICAL ELECTRONIC; INSTRUMENTS INSTRUMENTATION; POLYMER SCIENCE	DIIDW:2026268401		
P	BADHWAR R								Automated food quality assessment and packaging            system, has quality documentation and traceability unit            comprising laser-etching module for forming Quick            Response or data matrix codes on each container																																		0							FOOD SCIENCE TECHNOLOGY; IMAGING SCIENCE PHOTOGRAPHIC TECHNOLOGY; CHEMISTRY APPLIED; INSTRUMENTS INSTRUMENTATION; POLYMER SCIENCE; ENGINEERING MECHANICAL; ENGINEERING ELECTRICAL ELECTRONIC; ENGINEERING MULTIDISCIPLINARY	DIIDW:202626824Y		
P	SOGA S; OHORI T; OHORI J								System for traceability of renewable material e.g.            plastics for use in modern products, has production            system configured to allocate renewable material lot            for to-be-produced product as materials for product            from among different types of renewable materials																																		0							COMPUTER SCIENCE HARDWARE ARCHITECTURE; ENGINEERING ELECTRICAL ELECTRONIC; ELECTROCHEMISTRY; POLYMER SCIENCE	DIIDW:202623276D		
P	NAGARAJAN G; CHEVRETTE G								System for processing and recovering plastics or            materials in combination of plastics processing            facility, comprises first process stream that is            configured to receive first feed material and to            recover polyethylene terephthalate (PET) from first            feed material																																		0							POLYMER SCIENCE	DIIDW:2026194633		
P	LU Y; ZHI L; PAN T; XIAO J; HU M								Method for intelligent tracing of micro-plastic            discharge in offshore area, involves inputting            multi-source data set into pre-constructed intelligent            traceability model, and outputting traceability result            calculated by intelligent traceability model																																		0							ENGINEERING ELECTRICAL ELECTRONIC; COMPUTER SCIENCE HARDWARE ARCHITECTURE	DIIDW:202617463P		
P	YANG T; CHEN X; TIAN L								Method for tracing sheet defect in roll-to-roll            process, involves performing defect analysis based on            converted coordinate, analyzing defect distribution            direction and position, and judging defect source            belongs to upper sheet coiled material, lower sheet            coiled material or manufacturing procedure																																		0							ENGINEERING ELECTRICAL ELECTRONIC; COMPUTER SCIENCE HARDWARE ARCHITECTURE; POLYMER SCIENCE; ELECTROCHEMISTRY	DIIDW:202615195W		
P	DHOLAKIA N; RANPARIYA A; LADVA V; SYED S F; SHUKLA M; FATANIYA A; SINGH A; KANDOI A								Plastic waste transformation system for            manufacturing safe polymer product, has waste intake            hopper to receive heterogeneous, unsorted plastic            waste, and industrial conveyor belt connected to            hopper, and regulating speed and ensuring controlled            single-layer flow of waste																																		0							ENGINEERING MULTIDISCIPLINARY; INSTRUMENTS INSTRUMENTATION; POLYMER SCIENCE	DIIDW:202609237L		
P	SONG Y; CAO A; JIANG X; LIU M; ZHANG Y; SONG W; LV P; LI J; WU C								Data fusion method for pearlescent material            production quality safety traceability, involves            optimizing production process of pearlescent material            production process data based on pearlescent material            production process defect data to obtain pearlescent            material production process optimizing data																																		0							POLYMER SCIENCE; COMPUTER SCIENCE HARDWARE ARCHITECTURE; ENGINEERING ELECTRICAL ELECTRONIC; ELECTROCHEMISTRY	DIIDW:202609378E		
P	YANG S								Method for plastic source and disposal strategy of            low-voltage user frequency stop factor based on big            data, involves calculating reason treatment priority            coefficient according to fault frequency, influence            range and treatment cost, and generating treatment work            order																																		0							ENGINEERING ELECTRICAL ELECTRONIC; ELECTROCHEMISTRY; POLYMER SCIENCE; COMPUTER SCIENCE HARDWARE ARCHITECTURE	DIIDW:202613510P		
P	WU Y								Intelligent plastic fitting injection system, has            injection molding machine controller that uploads            production information to central server for storage            through edge gateway, which is convenient for later            production tracing																																		0							POLYMER SCIENCE; COMPUTER SCIENCE HARDWARE ARCHITECTURE; INSTRUMENTS INSTRUMENTATION; ENGINEERING ELECTRICAL ELECTRONIC	DIIDW:202608825G		
P	SHAO Z; WANG G; JIANG W								Regenerated polypropylene composite material            useful for automobile interior, comprises regenerated            polypropylene post-consumer-recycling material, talc            powder, toughening agent, multi-color scattering master            batch, smart tracing agent, lubricant, antioxidant, and            compatibilizer																																		0							TRANSPORTATION; POLYMER SCIENCE; CHEMISTRY APPLIED	DIIDW:202601765Y		
P	SAGIR A A								Rewind stopper for use in automatic rescue system,            has stabilizers that includes gear components in middle            portions, which enable gears to move to allow steel            cable integrated into gears to move, where rewinding of            steel cable component is provided																																		0							POLYMER SCIENCE; INSTRUMENTS INSTRUMENTATION; ENGINEERING MECHANICAL	DIIDW:202617917K		
P	BHAGWAT S; SINGH N; BURMAN T								Intelligent dairy management and traceability            system used for providing personalized, transparent,            and sustainable milk delivery and education, comprises            user interface module configured to enable consumers to            register, select milk preferences, and manage delivery            subscriptions																																		0							MEDICINE GENERAL INTERNAL; COMPUTER SCIENCE HARDWARE ARCHITECTURE; INSTRUMENTS INSTRUMENTATION; POLYMER SCIENCE; ENGINEERING ELECTRICAL ELECTRONIC; CHEMISTRY APPLIED; FOOD SCIENCE TECHNOLOGY	DIIDW:202600360N		
P	JIANG P; ZHANG M; HUANG J; ZHOU T; CHEN C; QIAN J; ZHANG Y; CHENG H; PAN Y; LU S; LEI S; DING J								Method for tracing micro-plastic pollution used in            water pollution tracing field, involves performing            micro-plastic pollution traceability and pollution            alarm according to dynamic threshold, dynamic risk            level and traceability model																																		1							ENGINEERING ELECTRICAL ELECTRONIC; COMPUTER SCIENCE HARDWARE ARCHITECTURE; ELECTROCHEMISTRY; POLYMER SCIENCE	DIIDW:202604081X		
P	XU Y; YUAN S								Anti-fake traceability system for high-value            agricultural products, has user terminal provided with            near field communication reading module and application            program for reading information in near field            communication chip																																		0							ELECTROCHEMISTRY; POLYMER SCIENCE; TELECOMMUNICATIONS; ENGINEERING ELECTRICAL ELECTRONIC; COMPUTER SCIENCE HARDWARE ARCHITECTURE	DIIDW:2025C5286U		
P	SANTOS J C C; DA SILVA V D; DA PAZ LIMA D J; DE OLIVEIRA PIMENTEL K								Fluorimetric kit useful for detecting and            quantifying nucleic acids e.g. DNA and RNA in            biological samples, comprises sample preparation vials,            N-2-hydroxyethylpiperazine-N-2-ethane sulfonic acid            buffer solution, probes, sterile swabs, and graduated            Pasteur pipette (dropper)																																		0							INSTRUMENTS INSTRUMENTATION; ENGINEERING ELECTRICAL ELECTRONIC; IMAGING SCIENCE PHOTOGRAPHIC TECHNOLOGY; POLYMER SCIENCE; BIOTECHNOLOGY APPLIED MICROBIOLOGY; CHEMISTRY APPLIED; PHARMACOLOGY PHARMACY	DIIDW:2026140495		
P	APARECIDA PEREIRA DE MORAE								Pallet protection screen for protecting goods            stored on pallets in warehouses, has profile support,            profile holder cavity, fiberglass profile, straps, male            Velcros, external female Velcros and label holder that            are connected with each other																																		0							POLYMER SCIENCE; ENGINEERING ELECTRICAL ELECTRONIC; ELECTROCHEMISTRY; COMPUTER SCIENCE HARDWARE ARCHITECTURE	DIIDW:2026143183		
P	JOKIOINEN O; STORBACKA R								Package for packaging six stretch film rolls in            pallet, has bundle of stretch film rolls of equal            length and having longitudinal midpoint, where each            stretch film roll comprises central longitudinal axis            and stretch film having side edges wound around central            longitudinal axis																																		0							ENGINEERING MECHANICAL; INSTRUMENTS INSTRUMENTATION; POLYMER SCIENCE	DIIDW:2025B4767P		
P	DA COSTA E M D								Forensic evidence preservation box for use in            field of preservation and storage of expert evidence            for preserving forensic traces collected at crime            scene, has support that is arranged on outer portion of            box to accommodate descriptive cards of traces																																		0							MEDICINE GENERAL INTERNAL; INSTRUMENTS INSTRUMENTATION; ENGINEERING MECHANICAL; ENGINEERING ELECTRICAL ELECTRONIC	DIIDW:202614165U		
P	FAN L; JIANG T; JIANG L								Smart paper-plastic bag automatic matching            labeling device for use in production line of food,            chemical industry and medicine, has pressing unit that            is installed on conveying mechanism and presses bag            body on back end conveying belt																																		0							COMPUTER SCIENCE HARDWARE ARCHITECTURE; ENGINEERING MECHANICAL; INSTRUMENTS INSTRUMENTATION; ENGINEERING ELECTRICAL ELECTRONIC; POLYMER SCIENCE; ENGINEERING MULTIDISCIPLINARY	DIIDW:2025B9627J		
P	SUN J; RAN X; WAN Y; TAO J; ZHANG F; HUANG S; XIANG L; LEI W								Dynamic demonstration method for implementing            defect repair by using friction stir welding process,            involves packaging and outputting optimal repair            parameters, paths, and dynamic demonstration videos,            and synchronously storing in database to form traceable            defect repair cases																																		0							TELECOMMUNICATIONS; COMPUTER SCIENCE HARDWARE ARCHITECTURE; INSTRUMENTS INSTRUMENTATION; ENGINEERING ELECTRICAL ELECTRONIC	DIIDW:2025B49940		
P	PATEL C S; SHAIKH S T; SHAH G D; MIRZA Z A; KOTHWALA D M								System for controlling airflow in extruder used in            plastics and polymer industries for extruding e.g.            tubes, has control unit that determines deviation            between measured attributes received from inspection            unit and corresponding predefined attributes stored            within control unit																																		0							ENGINEERING ELECTRICAL ELECTRONIC; MEDICINE GENERAL INTERNAL; INSTRUMENTS INSTRUMENTATION; POLYMER SCIENCE; ELECTROCHEMISTRY	DIIDW:2025B0982S		
P	LIN Y; ZHANG X; SONG Y								Method for processing video plastic source            fingerprint for video copyright protection and            traceability, involves embedding watermark sequence in            key frame of screened target embedding region, and            performing multi-dimensional feature weight fusion to            metadata																																		0							POLYMER SCIENCE; ENGINEERING ELECTRICAL ELECTRONIC; TELECOMMUNICATIONS; ELECTROCHEMISTRY; COMPUTER SCIENCE HARDWARE ARCHITECTURE; INSTRUMENTS INSTRUMENTATION	DIIDW:2025B1031J		
P	DU W; WEN L; LIN C; JIANG L; HE X; ZHANG Y								Method for detecting plastic manufacturing process            abnormality based on sensor data fusion, involves            performing second data fusion analysis based on            real-time detection numerical value array and sampling            detection result array, and locating abnormal            portion																																		0							POLYMER SCIENCE; ENGINEERING ELECTRICAL ELECTRONIC; COMPUTER SCIENCE HARDWARE ARCHITECTURE; ELECTROCHEMISTRY	DIIDW:2025A4235B		
P	DOMA D R; PANDEY B; RAMEASH K; BHUTIA T L; MAURYA K S; BORAH T R; SAHA S; KUMAR A								System for enabling vegetable farming in acidic            Inceptisols of Sikkim Himalayas, comprises shelter            frame covering nano-complex plastic films; IoT-based            sensors; control unit comprising processor and memory;            actuators connecting to control unit; and renewable            energy and water harvesting module																																		0							INSTRUMENTS INSTRUMENTATION; IMAGING SCIENCE PHOTOGRAPHIC TECHNOLOGY; AGRICULTURE MULTIDISCIPLINARY; ENGINEERING ELECTRICAL ELECTRONIC; CHEMISTRY APPLIED; POLYMER SCIENCE; COMPUTER SCIENCE HARDWARE ARCHITECTURE	DIIDW:202597750B		
P	DU Y								Traceable low-pressure injection molding            apparatus, has first code scanning gun installed on            machine station and located adjacent to heating            mechanism, and second code scanning guns installed on            station and adjacent to molding mechanism																																		0							POLYMER SCIENCE	DIIDW:202593596E		
P	SANTOS J C C; GOMES DOS SANTOS ALCANTARA; DA PAZ LIMA D J; DA SILVA V D								Colorimetric and fluorimetric kit useful for            detecting prostatic acid phosphatase for detecting            semen in forensic field, has capability of providing            qualitative and quantitative analytical response for            detection of semen in forensic samples																																		0							INSTRUMENTS INSTRUMENTATION; ENGINEERING ELECTRICAL ELECTRONIC; POLYMER SCIENCE; IMAGING SCIENCE PHOTOGRAPHIC TECHNOLOGY; PHARMACOLOGY PHARMACY; CHEMISTRY APPLIED; BIOTECHNOLOGY APPLIED MICROBIOLOGY; ENGINEERING CHEMICAL	DIIDW:2025A12253		
P	YAN J; YANG D								Regenerative plastic particle granulating device,            comprises support whose upper part is provided with            granulator main body, feeding part whose upper part is            provided with mounting shell, and corrugated pipe whose            outer wall is fixedly connected with lantern ring																																		0							POLYMER SCIENCE	DIIDW:202596705D		
P	BALIEIRO C O; DE PAULA DE JESUS A								Controlling dosage of additives and pigments in            recycling process used in processing plant, involves            dosing additives and pigments in polymer recycling and            transformation equipment through operators, comprising            casing which ruptures under specific conditions, and            containing additive and/or pigment																																		0							POLYMER SCIENCE	DIIDW:2025A2092G		
P	SHIOZAWA F; MITSUMA Y; ATSUTA K								Molding management system for managing production            of products using resin materials e.g. plastics using            injection molding machine, has control unit that            displays lot division image that accepts lot division            operation for dividing division target lot selected as            target to be divided from lots																																		0							POLYMER SCIENCE; ENGINEERING ELECTRICAL ELECTRONIC; COMPUTER SCIENCE HARDWARE ARCHITECTURE	DIIDW:2025908422		
P	ATSUTA K; SHIOZAWA F; HAIZUKA A								System for managing production of product using            resin material such as plastic using injection molding            machine, has control unit that displays display/hide            operation acceptance image that accepts display/hide            operation on terminal device																																		0							ENGINEERING ELECTRICAL ELECTRONIC; COMPUTER SCIENCE HARDWARE ARCHITECTURE; POLYMER SCIENCE	DIIDW:202590749S		
P	LI T; ZHANG X; ZHANG C; ZENG F; LI S								Device for detecting regenerated plastic composite            odor based on gas sensor, has dynamic odorous dynamic            excitation modules are installed on device shell, and            signal self-adaptive multimodal data processing engine            that is composed of special embedded system            hardware																																		0							ENGINEERING CHEMICAL; INSTRUMENTS INSTRUMENTATION; CHEMISTRY APPLIED; COMPUTER SCIENCE HARDWARE ARCHITECTURE; ENGINEERING ELECTRICAL ELECTRONIC	DIIDW:202594484X		
P	SHIOZAWA S; MITSUMA Y; ATSUTA K; SHIOZAWA F								Molding management system e.g. manufacturing            execution system, for managing production of product in            production process including injection molding process            by injection molding device using e.g. plastic, has            server communicably connected to terminal device and            provided with storage section																																		0							ENGINEERING ELECTRICAL ELECTRONIC; POLYMER SCIENCE; COMPUTER SCIENCE HARDWARE ARCHITECTURE	DIIDW:2025833406		
P	MITSUMA Y; SHIOZAWA S; ATSUTA K; ORII H; SHIOZAWA F								Molding management system for managing production            of product in production process by injection molding            device using resin material, has server communicably            connected to terminal device, and storage unit used to            store multiple pieces of lot information in which lot            identification information																																		0							ENGINEERING ELECTRICAL ELECTRONIC; POLYMER SCIENCE; COMPUTER SCIENCE HARDWARE ARCHITECTURE	DIIDW:2025832509		
P	SHIOZAWA S; ATSUTA K; SHIOZAWA F								Molding management system for managing production            of product in production process by injection molding            device using resin material i.e. plastic, has storage            unit for storing multiple pieces of lot information in            which lot identification information for identifying            lot of product																																		0							POLYMER SCIENCE	DIIDW:202583275Q		
P	MENG X; ZHU R; LIU W; LI X; WANG L; DONG L; SUN Y; MA W								Modular display structure based on tool-free            disassembly and material traceability comprises panel            glass and metal frame magnetically suspended by Halbach            magnetic array, power module connected to main frame by            push-pull slide mechanism with built-in self-power-off            safety lock																																		0							CHEMISTRY APPLIED; ENGINEERING ELECTRICAL ELECTRONIC; ELECTROCHEMISTRY; MATERIALS SCIENCE MULTIDISCIPLINARY; INSTRUMENTS INSTRUMENTATION; POLYMER SCIENCE; ENGINEERING MULTIDISCIPLINARY; COMPUTER SCIENCE HARDWARE ARCHITECTURE	DIIDW:202577222D		
P									Animal ear tag for marking farm animals, in            particular cattle, pigs, goats and sheep, comprises a            plastic; an antimicrobial additive is incorporated into            the plastic																																		0							MEDICINE GENERAL INTERNAL; AGRICULTURE DAIRY ANIMAL SCIENCE; CHEMISTRY APPLIED; ENGINEERING ELECTRICAL ELECTRONIC; POLYMER SCIENCE; INSTRUMENTS INSTRUMENTATION	DIIDW:2025766042		
P	SAWANT T V; SAWANT V S								Reusable and foldable wooden crate for use in            sustainable agricultural transport of delicate items,            has supporting pallets provided with embedded            supporting rod, where embedded supporting rod is            provided with transverse bores configured to house            barrel nuts																																		0							ENGINEERING ELECTRICAL ELECTRONIC; POLYMER SCIENCE; COMPUTER SCIENCE HARDWARE ARCHITECTURE; INSTRUMENTS INSTRUMENTATION; ENGINEERING MECHANICAL	DIIDW:2025760191		
P	LI P; WANG J; XU H; WANG Q								Method for preventing complete uncovering of radio            frequency identification tag used in different            applications e.g. product anti-counterfeiting and            anti-channel conflict, involves applying radio            frequency identification tag by plastic characteristic            adhesive																																		0							ENGINEERING ELECTRICAL ELECTRONIC; ELECTROCHEMISTRY; POLYMER SCIENCE; TELECOMMUNICATIONS; COMPUTER SCIENCE HARDWARE ARCHITECTURE; INSTRUMENTS INSTRUMENTATION	DIIDW:202572199K		
P	YIN L; LI L; CAO X; HU X								Power module production device comprises vertical            pipe rotatably installed on upper side of base, big            gear fixed on lower side of vertical pipe, fixing frame            fixed on lower sides of each group of lower plastic            packaging molds, and roller rotatably installed at            lower side of each of fixing frames																																		0							INSTRUMENTS INSTRUMENTATION; ELECTROCHEMISTRY; ENGINEERING ELECTRICAL ELECTRONIC; POLYMER SCIENCE	DIIDW:202566174A		
P	HE T; ZHOU J; TIAN J; ZHOU E								Material automatic packaging system with tracking            function, has packaging unit that comprises plastic            film conveying mechanism and plastic bag forming            mechanism, and guide channel whose lower portion is            provided with forming mechanism																																		0							POLYMER SCIENCE; INSTRUMENTS INSTRUMENTATION; ENGINEERING MECHANICAL	DIIDW:202564952Y		
P	LI K; YE Y; JIANG W; KE Y								Method for realizing product defect detection            based on multi-spectral imaging, involves performing            feature matching to defect feature database by using            vector searching algorithm to generate matching set,            and generating traceability data set containing            corresponding relation of production link																																		3							ENGINEERING ELECTRICAL ELECTRONIC; INSTRUMENTS INSTRUMENTATION; COMPUTER SCIENCE HARDWARE ARCHITECTURE	DIIDW:202562726Y		
P	LIU B; CHEN R; MAO Y; WANG X; CHEN X; LIU Z; ZHENG Y; QIAN X; QIN X; DAI Z								Method for digitally tracing marine waste i.e.            plastic rubbish, involves determining rubbish            distribution map of target sea area according to            rubbish classification, and tracing rubbish flow path            according to preset path inversion algorithm to obtain            rubbish source area																																		1							ENGINEERING ELECTRICAL ELECTRONIC; ELECTROCHEMISTRY; COMPUTER SCIENCE HARDWARE ARCHITECTURE; POLYMER SCIENCE	DIIDW:2025577826		
P	NASREEN H; CHINMAYE M; SRIYA L T; LASYA D V; GOPISETTY G D; RAMAKRISHNA S								Plastic waste recycling system comprises            artificial intelligence-driven automated sorting            mechanism that utilizes near-infrared and hyperspectral            imaging sensors to identify and classify different            types of plastic polymers, where classified plastic            waste is separated through robotic arms																																		0							ELECTROCHEMISTRY; INSTRUMENTS INSTRUMENTATION; POLYMER SCIENCE; ENERGY FUELS; CHEMISTRY APPLIED; ENGINEERING ELECTRICAL ELECTRONIC; COMPUTER SCIENCE HARDWARE ARCHITECTURE; ENGINEERING PETROLEUM	DIIDW:202550311F		
P	GASTON R A; AGUSTO R D								Removable portable set with visibliser and support            for papilogenetic identification, has adhesive layer            that is provided on base of set, and is made of plastic            or paper with thickness of specific range whose upper            and lower faces have high adhesion strength            adhesive																																		0							POLYMER SCIENCE; COMPUTER SCIENCE HARDWARE ARCHITECTURE; IMAGING SCIENCE PHOTOGRAPHIC TECHNOLOGY; ENGINEERING ELECTRICAL ELECTRONIC; INSTRUMENTS INSTRUMENTATION; CHEMISTRY APPLIED; OPTICS; AUTOMATION CONTROL SYSTEMS	DIIDW:2025668573		
