id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>
131	filter plate	1.0806	-0.1952	1	50	422	23
132	filter screen	0.9668	-0.073	1	84	957	63
133	first spring	0.6586	-0.3152	1	113	594	46
134	float	-0.0801	-0.0979	3	34	210	16
135	floater	0.6001	-0.3289	1	12	55	10
136	flow path	-0.6225	0.3015	4	68	818	41
137	flue gas	0.8836	-0.1392	1	32	139	10
138	fluid	-0.5822	0.0214	8	120	1014	82
139	following	-0.427	0.0265	3	73	273	13
140	force	-0.4755	-0.3379	4	195	1441	96
141	fresh water	-0.9227	0.0781	3	20	283	12
142	front side	0.8718	0.0186	1	61	325	16
143	fuel	-0.6398	-0.1848	9	73	364	23
144	fuel assembly	-0.7406	-0.6355	4	24	252	14
145	fuel pellet	-0.5665	-0.8452	4	11	152	10
146	fuel rod	-0.5085	-0.7908	4	26	413	19
147	furnace	0.4532	0.4308	10	72	612	45
148	furnace body	0.9401	-0.0624	1	21	268	15
149	gas	0.06	0.3717	10	143	1351	69
150	gas burner	-0.7814	0.1444	8	25	249	14
151	gas liquid separator	0.6266	0.8955	10	24	586	13
152	gas separator	-1.2362	-0.0931	8	11	403	14
153	generation	0.0942	0.0107	1	156	894	73
154	greenhouse	-0.1521	0.5245	11	37	791	27
155	ground	-0.5298	0.024	5	84	843	36
156	group	-0.077	-0.3544	4	121	1477	86
157	guide	-0.165	-0.0435	3	49	376	32
158	guide block	0.8443	-0.3796	1	21	166	15
159	guide rod	1.0042	-0.1508	1	29	108	11
160	head main body	-0.3674	-0.7912	5	13	137	10
161	heat exchanger	-0.4509	0.0842	3	151	1600	131
162	heat pipe	-0.3828	0.7719	12	47	353	24
163	heat pump	-0.4114	0.2843	3	79	692	45
164	heat sink	0.1447	-0.7466	5	30	184	22
165	heat source	-0.6534	0.1838	3	61	327	16
166	heating element	-0.8033	-0.6007	2	55	916	45
167	heating pipe	0.444	-0.1009	1	49	370	27
168	heating system	-0.9169	-0.2218	2	71	450	25
169	heating water	-0.8252	-0.2285	2	54	424	11
170	high efficiency	0.6168	0.103	1	35	150	11
171	hinge	0.8173	0.1772	1	47	199	12
172	home	-0.3768	0.1603	3	73	318	21
173	hopper	0.4965	-0.0346	1	25	140	15
174	hot spring	-0.6823	0.3412	3	84	717	54
175	hot spring water	-0.8104	0.2071	8	89	1509	91
176	hot water inlet	-0.2998	-0.4118	2	42	226	20
177	hot water pipe	-0.8156	-0.1691	8	34	286	23
178	hot water tank	0.1442	0.059	3	81	671	36
179	hour	-0.2077	0.7482	6	50	598	14
180	house	-0.1373	0.3418	11	46	296	23
181	ice	0.0818	0.5171	3	29	332	19
182	immersion body	0.0979	2.6616	13	10	456	12
183	impurity	0.6883	-0.0677	1	72	396	24
184	inclined plate	1.0543	-0.1316	1	23	178	11
185	increase	-0.4202	-0.287	4	127	634	33
186	inlet pipe	0.6326	-0.0012	1	162	1467	112
187	inner cavity	0.5765	0.0295	1	113	667	49
188	inner part	0.9387	-0.1841	1	136	1069	71
189	inner pipe	-0.4785	0.6736	8	32	249	16
190	inner portion	0.0454	-0.0777	7	52	203	14
191	inner tube	-0.6372	0.5197	4	21	220	12
192	inserting rod	0.9531	-0.1118	1	37	185	14
193	insulation	0.2598	0.4145	6	108	937	48
194	insulation layer	0.8084	0.3419	6	56	917	33
195	internal combustion engine	-0.7589	0.0256	7	32	114	12
196	iron	-0.4831	0.0351	2	41	391	28
197	jacket	0.0014	0.2578	10	58	440	32
198	kettle	0.607	-0.1111	1	70	507	40
199	kitchen shower	0.6436	-0.8505	14	4	100	10
200	layer	0.3641	0.2793	6	202	4626	326
201	lead	-0.4181	-0.1941	4	38	379	25
202	left end	0.5204	0.046	1	97	513	39
203	left side	1.0418	-0.1747	1	127	1093	66
204	length	-0.2247	0.0118	4	118	1009	38
205	level	-0.3697	-0.385	9	126	862	60
206	lever	-0.2545	-0.1686	2	67	683	40
207	lid	-0.2667	0.0506	3	40	236	29
208	line	-0.4132	0.6436	13	165	1583	105
209	longitudinal cross sectional view	-0.3564	-0.657	5	57	228	14
210	lower portion	0.0984	0.3324	11	44	257	16
211	lower side	0.8025	0.2972	6	88	587	32
212	magnet	-0.4772	-0.1005	3	35	479	30
213	main frame	0.6523	-0.2165	1	14	117	11
214	main portion	0.0189	0.4651	11	85	1361	43
215	manufacturing cost	-0.2473	-0.3207	7	57	183	12
216	mass	-0.2344	0.154	9	21	135	14
217	mat form member	-0.2913	-0.086	5	14	308	14
218	member	-0.7712	-0.4154	2	132	1672	92
219	membrane	-0.2342	-0.1003	2	44	185	21
220	metal plate	-0.05	-0.8732	5	26	141	13
221	metal shell	0.1687	-0.8899	2	17	186	11
222	metallic longitudinal element	-0.3035	0.6095	10	9	352	11
223	middle	0.5367	-0.0871	6	75	415	17
224	middle part	0.7823	-0.2028	1	75	350	23
225	mineral water	-0.5772	0.2898	3	29	168	14
226	minute	-0.1987	0.9079	6	49	545	26
227	mirror	-0.0877	0.2991	5	16	304	22
228	mixing valve	-0.9075	-0.3722	2	41	258	20
229	mixture	-0.508	0.1642	9	48	252	22
230	moisture	0.6807	0.6618	10	70	540	20
231	mould	-0.2043	0.0716	9	35	148	26
232	movable plate	0.5358	-0.1423	1	43	216	22
233	movement	-0.4435	-0.3573	2	134	643	51
234	mucilage layer	-3.752	0.4813	14	5	1392	24
235	need	-0.2774	0.0702	3	83	336	18
236	non english language text	-0.6478	0.0787	3	108	570	38
237	nuclear reactor	-0.8171	-0.8911	4	42	454	19
238	object	-1.1019	-0.4562	8	32	221	17
239	oil	0.2719	0.6045	10	100	888	48
240	oil tank	0.6597	0.9171	10	21	480	12
241	oil water separator	0.6438	0.9106	10	16	604	12
242	outer frame	0.6077	0.4211	6	23	292	10
243	outer pipe	-0.4676	0.7075	8	22	259	17
244	outer tube	-0.6519	0.4969	4	26	216	13
245	outflow port	-0.914	0.1901	3	32	260	15
246	output end	0.8927	-0.1412	1	63	260	20
247	oxygen	0.0243	0.7792	9	76	425	31
248	pad	0.8102	-0.1467	1	121	739	69
249	pair	-0.3068	-0.1917	5	103	537	41
250	paper	0.0341	0.0188	3	52	464	25
251	particle composition	0.0975	2.6721	13	10	390	10
252	path	-0.7538	-0.0733	4	83	827	63
253	pedestal	0.7428	-0.2057	1	46	187	15
254	pipe capillary channel	0.0929	2.6719	13	10	390	10
255	pipe shell support	0.0964	2.6604	13	10	456	12
256	pipeline water outlet body	0.0945	2.6614	13	10	456	12
257	piping	-0.8714	-0.0373	8	66	519	28
258	piston plate	0.5181	-0.3125	1	36	292	18
259	place	-0.3682	0.0607	11	59	215	18
260	placing plate	1.2624	-0.0176	1	8	270	10
261	plunger	-0.6571	-0.2669	2	49	338	24
262	plurality	0.3981	-0.102	12	87	402	28
263	possibility	-0.2694	0.1167	3	79	202	13
264	power battery	0.8592	-0.3294	1	22	162	10
265	preparation	-0.6329	0.3134	9	20	138	15
266	pressure plate	0.7998	-0.0514	1	19	208	16
267	probe	-0.1531	-0.2099	12	43	236	29
268	processing box	1.1143	-0.197	1	21	342	15
269	property	-0.6197	0.0792	9	127	548	45
270	protection	-0.0253	0.0109	9	88	464	42
271	protective cover	0.7213	-0.7338	14	38	261	17
272	pure water	-0.2673	0.3935	3	25	97	11
273	push plate	0.8142	-0.1097	1	49	317	24
274	push rod	0.6597	-0.1329	1	61	313	27
275	raw water	-0.2949	0.0459	2	31	163	15
276	reaction tank	0.8308	-0.2835	1	19	165	10
277	reactor	-0.1811	-0.568	4	75	745	45
278	reel	-0.288	0.529	11	17	473	15
279	refrigerator	0.0074	0.5378	3	40	484	21
280	regulator	-0.0434	-0.2483	2	54	269	35
281	relief valve	-0.7807	-0.5227	7	26	269	15
282	reservoir	-0.4197	-0.0973	2	56	487	48
283	resistor	0.1637	-0.7029	2	48	337	39
284	respect	-0.5652	-0.0596	7	61	353	22
285	response	-0.7537	-0.4398	2	53	253	17
286	right end	0.6539	-0.073	1	86	516	37
287	right side	0.91	-0.0614	1	119	862	58
288	roller	0.2131	-0.1706	5	91	656	60
289	roof	-0.2121	0.4654	5	62	703	22
290	rope	0.6744	0.1191	1	55	329	34
291	rotating rod	0.8262	-0.0901	1	43	174	16
292	rotating shaft	0.7027	-0.4109	1	55	279	30
293	schematic diagram	0.3413	0.9016	13	83	278	18
294	schematic representation	0.2716	0.3372	10	90	298	18
295	screw rod	0.799	-0.1818	1	49	214	14
296	sealing cover	0.7499	-0.3398	1	20	117	13
297	sealing plate	1.0022	-0.0994	1	36	173	17
298	second spring	0.7983	-0.3302	1	101	718	39
299	seed	-0.2528	0.8028	6	21	1058	27
300	semiconductor module	-0.0028	-0.8796	5	8	174	14
301	sensitive spring	-0.6966	-0.3625	2	27	334	29
302	sensor	-0.3332	-0.278	8	190	2099	170
303	series	-0.1534	0.1488	5	98	569	24
304	shuttle	-0.9456	-0.5377	2	9	126	12
305	signal	-0.3038	0.0755	8	62	250	18
306	skin	-0.6033	0.2025	9	25	289	23
307	slide block	0.7262	0.033	1	29	158	18
308	slider	-0.0595	-0.004	11	33	440	19
309	soil	-0.0637	0.6796	6	62	823	26
310	solar energy	-0.3387	0.4372	4	48	269	22
311	solar heater	-0.4076	-0.2474	7	25	186	13
312	solar panel	-0.1189	0.1713	3	55	276	18
313	solar thermal collector	-0.0447	0.0897	7	15	147	13
314	solar water heater	0.5329	0.6677	12	26	300	26
315	solenoid valve	-0.5082	-0.0715	6	19	111	15
316	solution	0.0802	0.2816	6	98	595	49
317	spring b	0.6522	-0.2878	1	25	99	11
318	spring element	-0.5556	-0.416	7	45	360	30
319	spring tube	-0.3839	0.3799	8	29	342	28
320	spring water	-0.7752	0.259	9	82	679	60
321	sprinkler head	-0.5461	-0.5952	5	35	495	37
322	stability	0.1391	0.5947	13	108	383	25
323	state	-0.4911	-0.1335	14	182	1545	93
324	steam generator	0.5544	0.3689	11	10	314	12
325	steam use apparatus	-1.0796	0.056	4	16	222	10
326	step	-0.0615	0.5012	5	54	471	19
327	stirring tank	0.6978	-0.1042	1	17	155	15
328	storage tank	0.0996	0.016	12	142	1721	128
329	strip	0.7549	0.1325	11	89	963	57
330	suction pipe	-1.1531	0.154	9	13	82	12
331	summer	-0.1435	0.2855	3	62	272	21
332	sunlight	-0.0781	0.1569	5	37	250	12
333	support	-0.1248	-0.2835	5	126	1485	96
334	support plate	-0.6106	-0.4901	4	31	167	16
335	supporting plate	0.7969	-0.1551	1	51	165	15
336	table	0.5678	-0.5013	1	67	543	40
337	tail end	0.5272	0.0917	1	38	148	10
338	tank body	0.8196	-0.1668	1	41	442	31
339	technical field	0.985	-0.2037	1	106	389	31
340	telescopic rod	0.6305	-0.0238	1	86	536	43
341	temp	-0.6439	0.0029	8	117	706	65
342	temperature control valve	-0.1627	-0.2625	2	18	158	15
343	temperature probe	0.0102	-0.1399	12	14	163	14
344	tension spring	0.535	-0.1175	1	83	315	24
345	terminal	-0.3694	-0.6968	2	66	840	56
346	thermal actuator	-0.8994	-0.5325	2	56	753	37
347	thermal baffle	0.8909	-0.0612	1	36	104	11
348	thermal efficiency	-0.4542	0.2582	8	61	308	21
349	thermal element	-0.1781	-0.3889	5	49	154	14
350	thermal energy	-0.0736	0.3336	11	81	413	30
351	thermal fuse	-0.7563	-0.1952	7	29	284	22
352	thermal insulation	0.439	0.0836	6	55	468	22
353	thermal insulation layer	0.4095	0.0936	6	40	247	12
354	thermal power	-0.2819	-0.4086	4	49	283	17
355	thermal power station	0.8816	-0.0197	1	42	139	12
356	thermal resistor	0.3101	-0.6694	2	67	378	31
357	thermal sensor	-0.3759	-0.5396	2	53	285	24
358	thermal sleeve	-0.9343	-0.9716	4	15	391	14
359	thermal spring	-0.2464	0.1654	9	45	204	23
360	thermal spring water	-1.9957	0.2911	14	45	446	28
361	thermal valve	-0.9867	0.0164	4	27	230	22
362	thermal water	-0.3835	0.3674	3	49	154	14
363	thermistor	-0.2023	-0.6691	2	45	359	24
364	thermostat	-0.7808	-0.6006	2	67	979	39
365	thickness	0.4754	0.2722	6	84	674	27
366	threaded rod	0.7972	-0.165	1	37	204	14
367	time	-0.0701	-0.0837	1	288	2416	154
368	tip	-0.6614	-0.336	2	46	362	16
369	top cover	0.6597	-0.3091	1	39	344	22
370	top end	0.8723	-0.3066	1	106	655	51
371	top part	0.7458	-0.28	1	145	957	69
372	top plate	0.8788	-0.1736	1	46	228	16
373	top rod	0.7927	-0.2556	1	20	151	13
374	torsion spring	0.5853	0.041	1	44	244	23
375	transmission rod	0.7536	-0.1527	1	53	195	13
376	transverse rod	0.8025	-0.0683	1	18	95	11
377	treatment	0.0149	0.2338	6	117	700	47
378	turn	-0.4306	-0.5193	4	71	619	29
379	underwater platform	-0.6154	0.9472	12	4	204	12
380	universal wheel	0.987	-0.1835	1	33	147	10
381	upper piston	-0.3275	-0.4166	2	11	42	10
382	upper side	0.3003	0.2516	6	72	332	18
383	upper surface	0.5596	-0.2487	1	107	667	49
384	vacuum	-0.1713	0.6953	12	37	158	12
385	vacuum heat	0.5187	0.9061	12	18	302	24
386	valve body	-0.1839	-0.412	2	120	1560	137
387	valve chest	-1.0876	0.0399	4	21	158	10
388	valve core	0.1949	-0.2929	2	59	681	77
389	valve cover	0.0063	-0.1684	2	28	207	24
390	valve device	-0.6726	-0.5059	7	15	215	18
391	valve element	-0.7725	-0.5648	7	31	263	18
392	valve member	-1.0908	-0.4348	2	22	140	13
393	valve rod	0.2072	-0.2685	1	48	442	33
394	valve seat	-0.6148	-0.2342	7	98	946	67
395	variable bar	0.1837	0.461	11	7	115	10
396	vertical rod	0.9528	-0.2823	1	37	196	14
397	vessel	-0.6851	-0.4166	4	73	615	44
398	vine	-0.0824	0.5871	5	15	994	24
399	volume	-0.3154	-0.2354	4	88	323	22
400	warm water	-0.5944	0.1327	3	81	643	36
401	warm water pipe	-0.2764	-0.0653	7	11	101	13
402	waste gas	0.9576	-0.1319	1	25	162	11
403	waste water	0.9341	-0.1059	1	62	590	37
404	water hammer	-0.7678	0.3449	4	38	165	12
405	water inlet plate	1.4684	-0.2457	1	3	40	10
406	water outlet hole	0.7278	-0.2149	1	45	264	16
407	water spray hole	0.4103	0.3646	9	5	81	11
408	water supply pipe	-0.8124	-0.1586	8	50	339	22
409	water supply pump	1.1818	0.0128	1	20	167	12
410	water tank cover	1.4423	-0.2253	1	2	22	11
411	water tank main body	0.7188	-0.2746	1	14	161	22
412	water temperature sensor	0.3128	-0.7866	2	25	255	16
413	water valve	-0.2622	-0.2279	2	32	178	18
414	way valve	0.1579	-0.0072	7	25	135	16
415	wear resistant sheet	0.9593	0.6278	6	13	580	10
416	wind	0.063	0.0938	5	54	249	13
417	window	0.0688	0.2313	5	61	310	24
418	winter	-0.0028	0.424	3	84	497	35
